"t","A_2y","B_2y","C_2y","D_2y","A_5y","B_5y","C_5y","D_5y","A_10y","B_10y","C_10y","D_10y"
"8.66666666666667","0.0154590179602252","0.000479349488369154","0","0.00437210764730612","0.0353682050850229","0.00109668850161305","0.0092059732574919","0.0198948264861851","0.0505718480107557","0.00156811913143474","0.0205873848831009","0.0340264051374415"
"8.83333333333333","0.0164967644261958","0.000511527685357414","0","0.00501420766559222","0.0370581065097276","0.00114908856006483","0.0102615040957753","0.0213187420567616","0.0525817754787072","0.00163044247797792","0.022151848348238","0.0359199452048228"
"9","0.0176255956537501","0.000546530219137837","0","0.00571836778929964","0.0388803701101831","0.00120559287635981","0.0114048543218746","0.0228556342883716","0.0547405880620934","0.00169738242197695","0.0238303951290466","0.0379483353602872"
"9.16666666666667","0.018860267959199","0.000584814650656063","9.51916868039608e-06","0.00649478526569747","0.040855702817157","0.00126684352686022","0.0126495348273997","0.0245228926057206","0.0570709990486566","0.0017696432524653","0.0256399460747824","0.0401318751640995"
"9.33333333333333","0.0202188853329624","0.000626942344935494","0.00025257277348843","0.00735602416043465","0.0430092674134776","0.00133362075417847","0.0140120288168504","0.0263416952128305","0.0596004445008847","0.00184807570141032","0.0276009993671407","0.042495126133797"
"9.5","0.0217239130353516","0.000673609900490859","0.000718227615136723","0.00831774394936816","0.0453719835975852","0.0014068833103416","0.0155126682135382","0.0283381188560099","0.0623624328506151","0.00193371879171844","0.0297386534538019","0.0450681279359287"
"9.66666666666667","0.023403583499455","0.000725692743343524","0.00130910264377689","0.00939971419525179","0.0479823165690464","0.00148782391696469","0.0171768419518985","0.0305446663474298","0.065398390236682","0.00202785705716697","0.0320840075079254","0.0478880622405908"
"9.83333333333333","0.0252938837601554","0.000784306752917935","0.00200123932346881","0.0106272550699513","0.0508887818442411","0.00157794693418804","0.0190366933151582","0.033002408608039","0.0687602304044986","0.00213210022944855","0.0346761143099667","0.0510015711243166"
"10","0.0274414254524745","0.000850897254529913","0.00280626706787047","0.0120333270510873","0.0541535269096508","0.0016791794200482","0.0211335549174039","0.0357640518942358","0.0725140081406178","0.00224849652331943","0.0375647603075535","0.0544680547523033"
"10.1666666666667","0.0299076903372061","0.000927370664050602","0.00374979346554759","0.0136616372034365","0.0578575746600969","0.00179403371826184","0.0235215259981205","0.0388984349007054","0.0767452355375493","0.00237969748257106","0.0408145169064459","0.0583644726714969"
"10.3333333333333","0.032775485379694","0.00101629464613023","0.00486959333474743","0.0155713867796562","0.0621087085276194","0.00192585195923064","0.0262728725034007","0.0424973025846034","0.0815668264011131","0.00252920431912093","0.0445108041604868","0.0627925229789978"
"10.5","0.0361590721737448","0.00112121220610644","0.00621914584161778","0.0178447633055428","0.0670537024718527","0.00207918528601631","0.0294864375844401","0.0466858312440242","0.0871313375713858","0.00270174749030442","0.0487692504793349","0.0678897117811783"
"10.6666666666667","0.0402206568178642","0.00124715300616744","0.00787552271857065","0.0205992120458139","0.0728979850195223","0.00226040359453068","0.0333012264410921","0.0516395846164694","0.0936505174589433","0.00290389285752184","0.0537506685919464","0.0738470433086218"
"10.8333333333333","0.0451984211373235","0.00140150255450312","0.00995376659937503","0.024008437103445","0.0799386272225638","0.00247871842053172","0.0379193121589072","0.0576130214861421","0.101427870009061","0.00314505142602462","0.0596860575744891","0.0809385126364706"
"11","0.051456705428576","0.00159555826707486","0.0126330599689491","0.0283402800765808","0.0886225703780514","0.00274798845905197","0.0436464993637678","0.064989939740672","0.110915720865471","0.003439248846834","0.0669205282314765","0.0895728393531143"
"11.1666666666667","0.0595817046786857","0.00184749680814499","0.0162075572069137","0.0340295612454611","0.0996559943993241","0.00309011084955201","0.0509692032489843","0.0743784939719905","0.122821628384096","0.00380842500024974","0.0759954529365167","0.1003900442289"
"11.3333333333333","0.0705789388430474","0.00218849723546696","0.0211935001877763","0.0418298364860572","0.114226359047431","0.00354190621492865","0.0607117231512525","0.0868047423459715","0.138322897610518","0.00428908563000477","0.0878146565869016","0.114456403746504"
"11.5","0.0863243630644897","0.00267672900391382","0.0285799607610718","0.0531639899852813","0.134500854594737","0.00417057459386358","0.0743925246951223","0.104148864323533","0.159545052579749","0.00494713878701857","0.104016714689471","0.133700033511566"
"11.6666666666667","0.110746082722952","0.00343399455320328","0.0405052206501524","0.0710551896794906","0.164907913399298","0.00511343251291373","0.0951506250537477","0.130272251769357","0.190786139789387","0.00591585799354775","0.127932886745876","0.162027913125329"
"11.8333333333333","0.153591332322742","0.00476253578304413","0.0624943621933572","0.103146305214321","0.216142612228095","0.0067021124856485","0.130684274779533","0.174563490871584","0.242340573080918","0.0075144520095502","0.167601861414081","0.208825460435653"
"12","0.246845310452456","0.00765414978652528","0.113727619980249","0.175182984863465","0.3222927351012","0.00999360846079832","0.206091334395093","0.267247919526519","0.347021192066558","0.0107603813098169","0.24895029767452","0.304152067582266"
"12.1666666666667","0.578281928860888","0.0179313399381358","0.318367894912904","0.445416313747174","0.679047933474379","0.0210558752007374","0.471845941312646","0.585263123952476","0.70159253404221","0.0217549313273278","0.531481590253194","0.630239221207543"
"12.3333333333333","0.507285790078206","0.015729757332321","0.310855458534158","0.412911764528629","0.596619120091265","0.018499777237927","0.440324393956738","0.531212345018865","0.61504573221908","0.0190711431155025","0.486825924934201","0.566112661232895"
"12.5","0.323463183437282","0.0100297921800118","0.212562315012181","0.272996344716227","0.394416768502966","0.0122298951589396","0.303449205792995","0.358952629951244","0.414585049050672","0.012855268461188","0.338436916119675","0.387904257980504"
"12.6666666666667","0.208286061348662","0.00645843382509816","0.143209098436846","0.179716511371141","0.26643668332627","0.0082615477733573","0.210602386919408","0.245601377003125","0.288371455097982","0.00894169598342301","0.240130655433387","0.272285740779343"
"12.8333333333333","0.147497731224456","0.00457354383886184","0.104375168857812","0.128994216426646","0.197302285803299","0.00611786669122396","0.158717263684411","0.18329000192364","0.219712636101261","0.00681276106124094","0.185366133239254","0.208603548028057"
"13","0.113375459459383","0.0035155018666578","0.0817179147723142","0.0999593880909895","0.157394321169999","0.0048804246635106","0.128082596312992","0.146904221679965","0.179520796047191","0.00556651642590242","0.152794702898429","0.171019434505355"
"13.1666666666667","0.0927797220665531","0.00287688062430171","0.0676680892005144","0.0822216282456688","0.13256885341578","0.00411064971437921","0.108748433941386","0.124138561380897","0.154097041061841","0.00477818978931997","0.132001205909443","0.147170198340367"
"13.3333333333333","0.0790633482310769","0.00245156971701863","0.058180984077243","0.0703446377948529","0.115580660172211","0.00358388748722978","0.0954183144315857","0.108522928642851","0.136404997375115","0.00422960270969548","0.117463695971649","0.130556718094669"
"13.5","0.0691821536504467","0.00214517781987188","0.0512819201675202","0.0617554302758238","0.10306735609216","0.00319588009762969","0.0855441574612641","0.096997159820646","0.123182654412639","0.00381960962819034","0.106557142968026","0.118125432526481"
"13.6666666666667","0.0616953080239443","0.00191302867326574","0.0460157461144288","0.0552270708176658","0.0934045942717066","0.00289626090480877","0.0778836781072109","0.0880808448609642","0.112842697478362","0.00349899216186392","0.0979994914048013","0.108392431919133"
"13.8333333333333","0.0558122061052851","0.0017306076632246","0.0418520467533396","0.0500834561131014","0.0856849190420243","0.00265689205502865","0.0717389248198398","0.0809459223227742","0.104489728764516","0.00323998633367285","0.0910655612573529","0.100520791630848"
"14","0.051058815434496","0.00158321624639139","0.0384700192350409","0.0459178868921555","0.0793555029825399","0.0024606317672321","0.0666828053931196","0.0750873159999934","0.0975730440516587","0.00302551619412402","0.0853082587425333","0.0939956362021334"
"14.1666666666667","0.0471325116337179","0.00146147079645007","0.0356634343863723","0.0424700217358626","0.074058314677652","0.00229637837791524","0.0624376786861864","0.0701775362696285","0.0917327582993795","0.00284442260136258","0.0804347660630684","0.0884803471184866"
"14.3333333333333","0.0438306243286774","0.00135908700503967","0.033293372535659","0.0395651005617511","0.0695504175107737","0.00215659901992587","0.0588145375231198","0.0659941239462887","0.0867226068198097","0.00268906949167164","0.076244307930051","0.0837444621503062"
"14.5","0.0410121450578851","0.00127169254435195","0.0312626936156338","0.0370812834380215","0.065660742081235","0.00203598924798153","0.0556798993886019","0.0623802661902851","0.0823678027926716","0.00255403715084248","0.0725941182506167","0.0796243211476291"
"14.6666666666667","0.038575847849668","0.00119614864252098","0.0295013549058592","0.0349309439549296","0.0622651092819819","0.00193069856837363","0.0529366138278168","0.0592220214331855","0.0785405290098689","0.00243536227592315","0.0693796148050828","0.0760001773318365"
"14.8333333333333","0.036447134827701","0.00113014219922534","0.027957534889516","0.033049398787579","0.0592710559403556","0.00183785992047879","0.0505121688029829","0.0564344713231965","0.0751449536411945","0.0023300733519583","0.0665222591465242","0.0727822003252928"
"15","0.0345697901354909","0.0010719300955751","0.0265920422633529","0.0313878293765093","0.0566082287367153","0.00175529181621435","0.0483512689561389","0.0539529472400756","0.0721076862292299","0.00223589471623648","0.0639618127347673","0.0699015584918276"
"15.1666666666667","0.0329006261759591","0.00102017318731126","0.0253746704908811","0.0299086785492558","0.0542220895686539","0.00168130315899479","0.0464109608933598","0.0517272768086605","0.0693714867720446","0.0021510514925242","0.0616512254882271","0.0673045390041441"
"15.3333333333333","0.031405901912241","0.000973825245150465","0.0242817496290327","0.0285825660726105","0.0520696674808213","0.00161456152153375","0.0446573362772708","0.0497178981655562","0.0668909960967956","0.00207413720044786","0.0595531621046587","0.0649485557909556"
"15.5","0.030058863653025","0.000932056700566713","0.0232944595568109","0.0273861678452109","0.0501166177053727","0.00155400195388314","0.0430632448035875","0.0478931679444274","0.0646297639266656","0.00200402160311049","0.0576375811485218","0.0627993698317374"
"15.6666666666667","0.0288380176986906","0.000894201084759157","0.0223976414205249","0.0263007242834403","0.0483351396602895","0.00149876242562715","0.0416066721318274","0.0462274542207693","0.0625581340143024","0.00193978513021939","0.0558800102590187","0.0608291103727"
"15.8333333333333","0.0277258924052378","0.00085971664325793","0.0215789433435461","0.0253109700253141","0.0467024736765304","0.0014481372130319","0.0402695666605149","0.0446997586639732","0.0606517095388575","0.0018806712937606","0.0542602931835393","0.0590148385523347"
"16","0.0267081349602839","0.000828158329129955","0.0208281954278746","0.0244043521279524","0.0451997963567778","0.00140154264678456","0.0390369760027333","0.0432927034327454","0.0588902200668668","0.00182605155518567","0.0527616636808027","0.0573374865071696"
"16.1666666666667","0.0257728416950892","0.000799157037566768","0.0201369451837382","0.0235704497850642","0.0438113959762669","0.00135849154315473","0.0378964013817582","0.0419917744563415","0.0572566718906704","0.00177539897944587","0.0513700503270295","0.0557810615290594"
"16.3333333333333","0.0249100542957117","0.000772403984601028","0.019498107219433","0.0228005373546689","0.0425240481261851","0.00131857384419197","0.0368373080877202","0.0407847481467017","0.0557367018773713","0.00172826819939476","0.0500735473101742","0.0543320406303004"
"16.5","0.0241113757957713","0.000747638799960638","0.0189056956286555","0.0220872509641218","0.0413265368453942","0.00128144176916424","0.035850749486276","0.039661251456805","0.0543180798014293","0.0016842799843095","0.048862006445136","0.0529789040750314"
